Matrix Size,MNK,MKN,NMK,NKM,KMN,KNM
10,0.000011,0.000009,0.000011,0.000009,0.000009,0.000009
20,0.000082,0.000064,0.000089,0.000065,0.000064,0.000066
30,0.000275,0.000216,0.000278,0.000218,0.000215,0.000221
40,0.000684,0.000545,0.000703,0.000563,0.000544,0.000559
50,0.001394,0.001089,0.001540,0.001211,0.001183,0.001179
60,0.002452,0.001721,0.001703,0.001278,0.001335,0.001547
70,0.002576,0.002701,0.003257,0.003416,0.003250,0.002144
80,0.003974,0.003144,0.004026,0.002740,0.003649,0.004936
90,0.004971,0.004169,0.005498,0.003879,0.003871,0.003950
100,0.008448,0.004825,0.007240,0.005422,0.006601,0.005493
200,0.052654,0.043556,0.049339,0.044145,0.044536,0.055518
300,0.180167,0.123600,0.171800,0.178024,0.144363,0.150729
400,0.413722,0.291098,0.397691,0.413106,0.315482,0.400753
