Matrix Size,Original MNK,Blocked MNK,Multithreaded MNK,MT+Blocked MNK
10,0.000011,0.000011,0.000296,0.000159
20,0.000061,0.000060,0.000176,0.000166
30,0.000214,0.000205,0.000207,0.000414
40,0.000715,0.000515,0.000340,0.000677
50,0.000945,0.000977,0.000552,0.001062
60,0.002376,0.002477,0.001645,0.002136
70,0.003512,0.003114,0.001186,0.002618
80,0.005965,0.006161,0.001698,0.002390
90,0.005816,0.004388,0.002282,0.003926
100,0.008810,0.005930,0.002880,0.003692
200,0.063248,0.049961,0.022189,0.038066
300,0.178325,0.162766,0.070209,0.078469
400,0.309643,0.297263,0.140358,0.142652
